Date	Close1	Close2	Close3	Close4	Close5	Close6	Close
26	0.0418148	0.0421758	0.0424489	0.0430576	0.0434732	0.0446537	0.0454802
27	0.0421758	0.0424489	0.0430576	0.0434732	0.0446537	0.0454802	0.0452301
28	0.0424489	0.0430576	0.0434732	0.0446537	0.0454802	0.0452301	0.0444706
29	0.0430576	0.0434732	0.0446537	0.0454802	0.0452301	0.0444706	0.0439754
30	0.0434732	0.0446537	0.0454802	0.0452301	0.0444706	0.0439754	0.044813
31	0.0446537	0.0454802	0.0452301	0.0444706	0.0439754	0.044813	0.0442503
32	0.0454802	0.0452301	0.0444706	0.0439754	0.044813	0.0442503	0.0437013
33	0.0452301	0.0444706	0.0439754	0.044813	0.0442503	0.0437013	0.0432097
34	0.0444706	0.0439754	0.044813	0.0442503	0.0437013	0.0432097	0.0416537
35	0.0439754	0.044813	0.0442503	0.0437013	0.0432097	0.0416537	0.0423463
36	0.044813	0.0442503	0.0437013	0.0432097	0.0416537	0.0423463	0.0415616
37	0.0442503	0.0437013	0.0432097	0.0416537	0.0423463	0.0415616	0.0404767
38	0.0437013	0.0432097	0.0416537	0.0423463	0.0415616	0.0404767	0.0410724
39	0.0432097	0.0416537	0.0423463	0.0415616	0.0404767	0.0410724	0.0409756
40	0.0416537	0.0423463	0.0415616	0.0404767	0.0410724	0.0409756	0.0396315
41	0.0423463	0.0415616	0.0404767	0.0410724	0.0409756	0.0396315	0.0387608
42	0.0415616	0.0404767	0.0410724	0.0409756	0.0396315	0.0387608	0.0394367
43	0.0404767	0.0410724	0.0409756	0.0396315	0.0387608	0.0394367	0.0395003
44	0.0410724	0.0409756	0.0396315	0.0387608	0.0394367	0.0395003	0.0396539
45	0.0409756	0.0396315	0.0387608	0.0394367	0.0395003	0.0396539	0.0400704
46	0.0396315	0.0387608	0.0394367	0.0395003	0.0396539	0.0400704	0.0403235
47	0.0387608	0.0394367	0.0395003	0.0396539	0.0400704	0.0403235	0.040873
48	0.0394367	0.0395003	0.0396539	0.0400704	0.0403235	0.040873	0.0403155
49	0.0395003	0.0396539	0.0400704	0.0403235	0.040873	0.0403155	0.0404561
50	0.0396539	0.0400704	0.0403235	0.040873	0.0403155	0.0404561	0.0401007
51	0.0400704	0.0403235	0.040873	0.0403155	0.0404561	0.0401007	0.0399594
52	0.0403235	0.040873	0.0403155	0.0404561	0.0401007	0.0399594	0.0401842
53	0.040873	0.0403155	0.0404561	0.0401007	0.0399594	0.0401842	0.0401259
54	0.0403155	0.0404561	0.0401007	0.0399594	0.0401842	0.0401259	0.0392833
55	0.0404561	0.0401007	0.0399594	0.0401842	0.0401259	0.0392833	0.0388477
56	0.0401007	0.0399594	0.0401842	0.0401259	0.0392833	0.0388477	0.0382512
57	0.0399594	0.0401842	0.0401259	0.0392833	0.0388477	0.0382512	0.0377099
58	0.0401842	0.0401259	0.0392833	0.0388477	0.0382512	0.0377099	0.0382242
59	0.0401259	0.0392833	0.0388477	0.0382512	0.0377099	0.0382242	0.0382591
60	0.0392833	0.0388477	0.0382512	0.0377099	0.0382242	0.0382591	0.0388756
61	0.0388477	0.0382512	0.0377099	0.0382242	0.0382591	0.0388756	0.0392524
62	0.0382512	0.0377099	0.0382242	0.0382591	0.0388756	0.0392524	0.0391283
63	0.0377099	0.0382242	0.0382591	0.0388756	0.0392524	0.0391283	0.0390203
64	0.0382242	0.0382591	0.0388756	0.0392524	0.0391283	0.0390203	0.0390551
65	0.0382591	0.0388756	0.0392524	0.0391283	0.0390203	0.0390551	0.0384773
66	0.0388756	0.0392524	0.0391283	0.0390203	0.0390551	0.0384773	0.0385734
67	0.0392524	0.0391283	0.0390203	0.0390551	0.0384773	0.0385734	0.0390946
68	0.0391283	0.0390203	0.0390551	0.0384773	0.0385734	0.0390946	0.0393023
69	0.0390203	0.0390551	0.0384773	0.0385734	0.0390946	0.0393023	0.0397996
70	0.0390551	0.0384773	0.0385734	0.0390946	0.0393023	0.0397996	0.0405737
71	0.0384773	0.0385734	0.0390946	0.0393023	0.0397996	0.0405737	0.0406605
72	0.0385734	0.0390946	0.0393023	0.0397996	0.0405737	0.0406605	0.040124
73	0.0390946	0.0393023	0.0397996	0.0405737	0.0406605	0.040124	0.0403455
74	0.0393023	0.0397996	0.0405737	0.0406605	0.040124	0.0403455	0.0407705
75	0.0397996	0.0405737	0.0406605	0.040124	0.0403455	0.0407705	0.0410626
76	0.0405737	0.0406605	0.040124	0.0403455	0.0407705	0.0410626	0.0415484
77	0.0406605	0.040124	0.0403455	0.0407705	0.0410626	0.0415484	0.0411699
78	0.040124	0.0403455	0.0407705	0.0410626	0.0415484	0.0411699	0.040827
79	0.0403455	0.0407705	0.0410626	0.0415484	0.0411699	0.040827	0.0400977
80	0.0407705	0.0410626	0.0415484	0.0411699	0.040827	0.0400977	0.0395746
81	0.0410626	0.0415484	0.0411699	0.040827	0.0400977	0.0395746	0.0393433
82	0.0415484	0.0411699	0.040827	0.0400977	0.0395746	0.0393433	0.0380324
83	0.0411699	0.040827	0.0400977	0.0395746	0.0393433	0.0380324	0.0379082
84	0.040827	0.0400977	0.0395746	0.0393433	0.0380324	0.0379082	0.0380595
85	0.0400977	0.0395746	0.0393433	0.0380324	0.0379082	0.0380595	0.0377823
86	0.0395746	0.0393433	0.0380324	0.0379082	0.0380595	0.0377823	0.0376396
87	0.0393433	0.0380324	0.0379082	0.0380595	0.0377823	0.0376396	0.0374732
88	0.0380324	0.0379082	0.0380595	0.0377823	0.0376396	0.0374732	0.0372105
89	0.0379082	0.0380595	0.0377823	0.0376396	0.0374732	0.0372105	0.037234
90	0.0380595	0.0377823	0.0376396	0.0374732	0.0372105	0.037234	0.0363318
91	0.0377823	0.0376396	0.0374732	0.0372105	0.037234	0.0363318	0.035541
92	0.0376396	0.0374732	0.0372105	0.037234	0.0363318	0.035541	0.0356977
93	0.0374732	0.0372105	0.037234	0.0363318	0.035541	0.0356977	0.035781
94	0.0372105	0.037234	0.0363318	0.035541	0.0356977	0.035781	0.035189
95	0.037234	0.0363318	0.035541	0.0356977	0.035781	0.035189	0.0345465
96	0.0363318	0.035541	0.0356977	0.035781	0.035189	0.0345465	0.0346686
97	0.035541	0.0356977	0.035781	0.035189	0.0345465	0.0346686	0.0352344
98	0.0356977	0.035781	0.035189	0.0345465	0.0346686	0.0352344	0.0340307
99	0.035781	0.035189	0.0345465	0.0346686	0.0352344	0.0340307	0.0347989
100	0.035189	0.0345465	0.0346686	0.0352344	0.0340307	0.0347989	0.0353552
101	0.0345465	0.0346686	0.0352344	0.0340307	0.0347989	0.0353552	0.0362807
102	0.0346686	0.0352344	0.0340307	0.0347989	0.0353552	0.0362807	0.0356029
103	0.0352344	0.0340307	0.0347989	0.0353552	0.0362807	0.0356029	0.0356965
104	0.0340307	0.0347989	0.0353552	0.0362807	0.0356029	0.0356965	0.0355348
105	0.0347989	0.0353552	0.0362807	0.0356029	0.0356965	0.0355348	0.0356237
106	0.0353552	0.0362807	0.0356029	0.0356965	0.0355348	0.0356237	0.035271
107	0.0362807	0.0356029	0.0356965	0.0355348	0.0356237	0.035271	0.0346908
108	0.0356029	0.0356965	0.0355348	0.0356237	0.035271	0.0346908	0.0346819
109	0.0356965	0.0355348	0.0356237	0.035271	0.0346908	0.0346819	0.0339159
110	0.0355348	0.0356237	0.035271	0.0346908	0.0346819	0.0339159	0.0334733
111	0.0356237	0.035271	0.0346908	0.0346819	0.0339159	0.0334733	0.0332914
112	0.035271	0.0346908	0.0346819	0.0339159	0.0334733	0.0332914	0.0332927
113	0.0346908	0.0346819	0.0339159	0.0334733	0.0332914	0.0332927	0.0336756
114	0.0346819	0.0339159	0.0334733	0.0332914	0.0332927	0.0336756	0.0342487
115	0.0339159	0.0334733	0.0332914	0.0332927	0.0336756	0.0342487	0.0348702
116	0.0334733	0.0332914	0.0332927	0.0336756	0.0342487	0.0348702	0.0347235
117	0.0332914	0.0332927	0.0336756	0.0342487	0.0348702	0.0347235	0.0354019
118	0.0332927	0.0336756	0.0342487	0.0348702	0.0347235	0.0354019	0.0361634
119	0.0336756	0.0342487	0.0348702	0.0347235	0.0354019	0.0361634	0.0364111
120	0.0342487	0.0348702	0.0347235	0.0354019	0.0361634	0.0364111	0.0360769
121	0.0348702	0.0347235	0.0354019	0.0361634	0.0364111	0.0360769	0.0363338
122	0.0347235	0.0354019	0.0361634	0.0364111	0.0360769	0.0363338	0.0370679
123	0.0354019	0.0361634	0.0364111	0.0360769	0.0363338	0.0370679	0.0363771
124	0.0361634	0.0364111	0.0360769	0.0363338	0.0370679	0.0363771	0.0365898
125	0.0364111	0.0360769	0.0363338	0.0370679	0.0363771	0.0365898	0.0369462
126	0.0360769	0.0363338	0.0370679	0.0363771	0.0365898	0.0369462	0.0371985
127	0.0363338	0.0370679	0.0363771	0.0365898	0.0369462	0.0371985	0.0373921
128	0.0370679	0.0363771	0.0365898	0.0369462	0.0371985	0.0373921	0.0371962
129	0.0363771	0.0365898	0.0369462	0.0371985	0.0373921	0.0371962	0.0368331
130	0.0365898	0.0369462	0.0371985	0.0373921	0.0371962	0.0368331	0.0359816
131	0.0369462	0.0371985	0.0373921	0.0371962	0.0368331	0.0359816	0.035302
132	0.0371985	0.0373921	0.0371962	0.0368331	0.0359816	0.035302	0.0339504
133	0.0373921	0.0371962	0.0368331	0.0359816	0.035302	0.0339504	0.0343172
134	0.0371962	0.0368331	0.0359816	0.035302	0.0339504	0.0343172	0.0340079
135	0.0368331	0.0359816	0.035302	0.0339504	0.0343172	0.0340079	0.0336578
136	0.0359816	0.035302	0.0339504	0.0343172	0.0340079	0.0336578	0.0338232
137	0.035302	0.0339504	0.0343172	0.0340079	0.0336578	0.0338232	0.0348086
138	0.0339504	0.0343172	0.0340079	0.0336578	0.0338232	0.0348086	0.0345595
139	0.0343172	0.0340079	0.0336578	0.0338232	0.0348086	0.0345595	0.0341834
140	0.0340079	0.0336578	0.0338232	0.0348086	0.0345595	0.0341834	0.033803
141	0.0336578	0.0338232	0.0348086	0.0345595	0.0341834	0.033803	0.0335121
142	0.0338232	0.0348086	0.0345595	0.0341834	0.033803	0.0335121	0.0327621
143	0.0348086	0.0345595	0.0341834	0.033803	0.0335121	0.0327621	0.0320955
144	0.0345595	0.0341834	0.033803	0.0335121	0.0327621	0.0320955	0.0322436
145	0.0341834	0.033803	0.0335121	0.0327621	0.0320955	0.0322436	0.033548
146	0.033803	0.0335121	0.0327621	0.0320955	0.0322436	0.033548	0.0335488
147	0.0335121	0.0327621	0.0320955	0.0322436	0.033548	0.0335488	0.0331919
148	0.0327621	0.0320955	0.0322436	0.033548	0.0335488	0.0331919	0.0335248
149	0.0320955	0.0322436	0.033548	0.0335488	0.0331919	0.0335248	0.033667
150	0.0322436	0.033548	0.0335488	0.0331919	0.0335248	0.033667	0.0334835
151	0.033548	0.0335488	0.0331919	0.0335248	0.033667	0.0334835	0.033177
152	0.0335488	0.0331919	0.0335248	0.033667	0.0334835	0.033177	0.0329291
153	0.0331919	0.0335248	0.033667	0.0334835	0.033177	0.0329291	0.0329389
154	0.0335248	0.033667	0.0334835	0.033177	0.0329291	0.0329389	0.0337353
155	0.033667	0.0334835	0.033177	0.0329291	0.0329389	0.0337353	0.0344977
156	0.0334835	0.033177	0.0329291	0.0329389	0.0337353	0.0344977	0.0341336
157	0.033177	0.0329291	0.0329389	0.0337353	0.0344977	0.0341336	0.0340188
158	0.0329291	0.0329389	0.0337353	0.0344977	0.0341336	0.0340188	0.0343764
159	0.0329389	0.0337353	0.0344977	0.0341336	0.0340188	0.0343764	0.034173
160	0.0337353	0.0344977	0.0341336	0.0340188	0.0343764	0.034173	0.034784
161	0.0344977	0.0341336	0.0340188	0.0343764	0.034173	0.034784	0.0348469
162	0.0341336	0.0340188	0.0343764	0.034173	0.034784	0.0348469	0.0357163
163	0.0340188	0.0343764	0.034173	0.034784	0.0348469	0.0357163	0.0362222
164	0.0343764	0.034173	0.034784	0.0348469	0.0357163	0.0362222	0.0377261
165	0.034173	0.034784	0.0348469	0.0357163	0.0362222	0.0377261	0.0374393
166	0.034784	0.0348469	0.0357163	0.0362222	0.0377261	0.0374393	0.0371462
167	0.0348469	0.0357163	0.0362222	0.0377261	0.0374393	0.0371462	0.0370858
168	0.0357163	0.0362222	0.0377261	0.0374393	0.0371462	0.0370858	0.0380721
169	0.0362222	0.0377261	0.0374393	0.0371462	0.0370858	0.0380721	0.0379825
170	0.0377261	0.0374393	0.0371462	0.0370858	0.0380721	0.0379825	0.0375209
171	0.0374393	0.0371462	0.0370858	0.0380721	0.0379825	0.0375209	0.037165
172	0.0371462	0.0370858	0.0380721	0.0379825	0.0375209	0.037165	0.0378523
173	0.0370858	0.0380721	0.0379825	0.0375209	0.037165	0.0378523	0.0379117
174	0.0380721	0.0379825	0.0375209	0.037165	0.0378523	0.0379117	0.0382502
175	0.0379825	0.0375209	0.037165	0.0378523	0.0379117	0.0382502	0.0382087
176	0.0375209	0.037165	0.0378523	0.0379117	0.0382502	0.0382087	0.038404
177	0.037165	0.0378523	0.0379117	0.0382502	0.0382087	0.038404	0.0396381
178	0.0378523	0.0379117	0.0382502	0.0382087	0.038404	0.0396381	0.0392767
179	0.0379117	0.0382502	0.0382087	0.038404	0.0396381	0.0392767	0.0394957
180	0.0382502	0.0382087	0.038404	0.0396381	0.0392767	0.0394957	0.0389175
181	0.0382087	0.038404	0.0396381	0.0392767	0.0394957	0.0389175	0.039086
182	0.038404	0.0396381	0.0392767	0.0394957	0.0389175	0.039086	0.0389798
183	0.0396381	0.0392767	0.0394957	0.0389175	0.039086	0.0389798	0.0389275
184	0.0392767	0.0394957	0.0389175	0.039086	0.0389798	0.0389275	0.0396957
185	0.0394957	0.0389175	0.039086	0.0389798	0.0389275	0.0396957	0.0399272
186	0.0389175	0.039086	0.0389798	0.0389275	0.0396957	0.0399272	0.0407605
187	0.039086	0.0389798	0.0389275	0.0396957	0.0399272	0.0407605	0.0417022
188	0.0389798	0.0389275	0.0396957	0.0399272	0.0407605	0.0417022	0.0419427
189	0.0389275	0.0396957	0.0399272	0.0407605	0.0417022	0.0419427	0.0411829
190	0.0396957	0.0399272	0.0407605	0.0417022	0.0419427	0.0411829	0.0408593
191	0.0399272	0.0407605	0.0417022	0.0419427	0.0411829	0.0408593	0.041925
192	0.0407605	0.0417022	0.0419427	0.0411829	0.0408593	0.041925	0.0413432
193	0.0417022	0.0419427	0.0411829	0.0408593	0.041925	0.0413432	0.0418676
194	0.0419427	0.0411829	0.0408593	0.041925	0.0413432	0.0418676	0.0421073
195	0.0411829	0.0408593	0.041925	0.0413432	0.0418676	0.0421073	0.0428096
196	0.0408593	0.041925	0.0413432	0.0418676	0.0421073	0.0428096	0.0417944
197	0.041925	0.0413432	0.0418676	0.0421073	0.0428096	0.0417944	0.0409223
198	0.0413432	0.0418676	0.0421073	0.0428096	0.0417944	0.0409223	0.0405098
199	0.0418676	0.0421073	0.0428096	0.0417944	0.0409223	0.0405098	0.0408283
200	0.0421073	0.0428096	0.0417944	0.0409223	0.0405098	0.0408283	0.0408283
201	0.0428096	0.0417944	0.0409223	0.0405098	0.0408283	0.0408283	0.0397028
202	0.0417944	0.0409223	0.0405098	0.0408283	0.0408283	0.0397028	0.0400681
203	0.0409223	0.0405098	0.0408283	0.0408283	0.0397028	0.0400681	0.0413581
204	0.0405098	0.0408283	0.0408283	0.0397028	0.0400681	0.0413581	0.0414729
205	0.0408283	0.0408283	0.0397028	0.0400681	0.0413581	0.0414729	0.0406979
206	0.0408283	0.0397028	0.0400681	0.0413581	0.0414729	0.0406979	0.040222
207	0.0397028	0.0400681	0.0413581	0.0414729	0.0406979	0.040222	0.0394513
208	0.0400681	0.0413581	0.0414729	0.0406979	0.040222	0.0394513	0.0378276
209	0.0413581	0.0414729	0.0406979	0.040222	0.0394513	0.0378276	0.0389794
210	0.0414729	0.0406979	0.040222	0.0394513	0.0378276	0.0389794	0.038498
211	0.0406979	0.040222	0.0394513	0.0378276	0.0389794	0.038498	0.0390848
212	0.040222	0.0394513	0.0378276	0.0389794	0.038498	0.0390848	0.0392442
213	0.0394513	0.0378276	0.0389794	0.038498	0.0390848	0.0392442	0.0395693
214	0.0378276	0.0389794	0.038498	0.0390848	0.0392442	0.0395693	0.0390879
215	0.0389794	0.038498	0.0390848	0.0392442	0.0395693	0.0390879	0.038971
216	0.038498	0.0390848	0.0392442	0.0395693	0.0390879	0.038971	0.0390811
217	0.0390848	0.0392442	0.0395693	0.0390879	0.038971	0.0390811	0.0387506
218	0.0392442	0.0395693	0.0390879	0.038971	0.0390811	0.0387506	0.0377719
219	0.0395693	0.0390879	0.038971	0.0390811	0.0387506	0.0377719	0.0372193
220	0.0390879	0.038971	0.0390811	0.0387506	0.0377719	0.0372193	0.0368639
221	0.038971	0.0390811	0.0387506	0.0377719	0.0372193	0.0368639	0.0364268
222	0.0390811	0.0387506	0.0377719	0.0372193	0.0368639	0.0364268	0.0357321
223	0.0387506	0.0377719	0.0372193	0.0368639	0.0364268	0.0357321	0.0359798
224	0.0377719	0.0372193	0.0368639	0.0364268	0.0357321	0.0359798	0.0354621
225	0.0372193	0.0368639	0.0364268	0.0357321	0.0359798	0.0354621	0.0341789
226	0.0368639	0.0364268	0.0357321	0.0359798	0.0354621	0.0341789	0.0341673
227	0.0364268	0.0357321	0.0359798	0.0354621	0.0341789	0.0341673	0.0346807
228	0.0357321	0.0359798	0.0354621	0.0341789	0.0341673	0.0346807	0.0331141
229	0.0359798	0.0354621	0.0341789	0.0341673	0.0346807	0.0331141	0.0333576
230	0.0354621	0.0341789	0.0341673	0.0346807	0.0331141	0.0333576	0.0334741
231	0.0341789	0.0341673	0.0346807	0.0331141	0.0333576	0.0334741	0.0315296
232	0.0341673	0.0346807	0.0331141	0.0333576	0.0334741	0.0315296	0.0316108
233	0.0346807	0.0331141	0.0333576	0.0334741	0.0315296	0.0316108	0.0340095
234	0.0331141	0.0333576	0.0334741	0.0315296	0.0316108	0.0340095	0.0329233
235	0.0333576	0.0334741	0.0315296	0.0316108	0.0340095	0.0329233	0.031431
236	0.0334741	0.0315296	0.0316108	0.0340095	0.0329233	0.031431	0.0307851
237	0.0315296	0.0316108	0.0340095	0.0329233	0.031431	0.0307851	0.0303734
238	0.0316108	0.0340095	0.0329233	0.031431	0.0307851	0.0303734	0.0314364
239	0.0340095	0.0329233	0.031431	0.0307851	0.0303734	0.0314364	0.0320854
240	0.0329233	0.031431	0.0307851	0.0303734	0.0314364	0.0320854	0.0316882
241	0.031431	0.0307851	0.0303734	0.0314364	0.0320854	0.0316882	0.0328956
242	0.0307851	0.0303734	0.0314364	0.0320854	0.0316882	0.0328956	0.0325069
243	0.0303734	0.0314364	0.0320854	0.0316882	0.0328956	0.0325069	0.032306
244	0.0314364	0.0320854	0.0316882	0.0328956	0.0325069	0.032306	0.0318073
245	0.0320854	0.0316882	0.0328956	0.0325069	0.032306	0.0318073	0.0308902
246	0.0316882	0.0328956	0.0325069	0.032306	0.0318073	0.0308902	0.0317831
247	0.0328956	0.0325069	0.032306	0.0318073	0.0308902	0.0317831	0.0319594
248	0.0325069	0.032306	0.0318073	0.0308902	0.0317831	0.0319594	0.0324588
249	0.032306	0.0318073	0.0308902	0.0317831	0.0319594	0.0324588	0.0333198
250	0.0318073	0.0308902	0.0317831	0.0319594	0.0324588	0.0333198	0.0340174
251	0.0308902	0.0317831	0.0319594	0.0324588	0.0333198	0.0340174	0.0332217
252	0.0317831	0.0319594	0.0324588	0.0333198	0.0340174	0.0332217	0.033715
253	0.0319594	0.0324588	0.0333198	0.0340174	0.0332217	0.033715	0.0336572
254	0.0324588	0.0333198	0.0340174	0.0332217	0.033715	0.0336572	0.0348877
255	0.0333198	0.0340174	0.0332217	0.033715	0.0336572	0.0348877	0.034708
256	0.0340174	0.0332217	0.033715	0.0336572	0.0348877	0.034708	0.0338475
257	0.0332217	0.033715	0.0336572	0.0348877	0.034708	0.0338475	0.033533
258	0.033715	0.0336572	0.0348877	0.034708	0.0338475	0.033533	0.0334433
259	0.0336572	0.0348877	0.034708	0.0338475	0.033533	0.0334433	0.0322752
260	0.0348877	0.034708	0.0338475	0.033533	0.0334433	0.0322752	0.031713
261	0.034708	0.0338475	0.033533	0.0334433	0.0322752	0.031713	0.0308517
262	0.0338475	0.033533	0.0334433	0.0322752	0.031713	0.0308517	0.0316684
263	0.033533	0.0334433	0.0322752	0.031713	0.0308517	0.0316684	0.0321993
264	0.0334433	0.0322752	0.031713	0.0308517	0.0316684	0.0321993	0.032121
265	0.0322752	0.031713	0.0308517	0.0316684	0.0321993	0.032121	0.0321131
266	0.031713	0.0308517	0.0316684	0.0321993	0.032121	0.0321131	0.0311295
267	0.0308517	0.0316684	0.0321993	0.032121	0.0321131	0.0311295	0.0311954
268	0.0316684	0.0321993	0.032121	0.0321131	0.0311295	0.0311954	0.0313342
269	0.0321993	0.032121	0.0321131	0.0311295	0.0311954	0.0313342	0.0309633
270	0.032121	0.0321131	0.0311295	0.0311954	0.0313342	0.0309633	0.0306225
271	0.0321131	0.0311295	0.0311954	0.0313342	0.0309633	0.0306225	0.0302071
272	0.0311295	0.0311954	0.0313342	0.0309633	0.0306225	0.0302071	0.0297064
273	0.0311954	0.0313342	0.0309633	0.0306225	0.0302071	0.0297064	0.029508
274	0.0313342	0.0309633	0.0306225	0.0302071	0.0297064	0.029508	0.0299022
275	0.0309633	0.0306225	0.0302071	0.0297064	0.029508	0.0299022	0.0296875
276	0.0306225	0.0302071	0.0297064	0.029508	0.0299022	0.0296875	0.0291707
277	0.0302071	0.0297064	0.029508	0.0299022	0.0296875	0.0291707	0.0286799
278	0.0297064	0.029508	0.0299022	0.0296875	0.0291707	0.0286799	0.0288459
279	0.029508	0.0299022	0.0296875	0.0291707	0.0286799	0.0288459	0.029896
280	0.0299022	0.0296875	0.0291707	0.0286799	0.0288459	0.029896	0.0292261
281	0.0296875	0.0291707	0.0286799	0.0288459	0.029896	0.0292261	0.0295044
282	0.0291707	0.0286799	0.0288459	0.029896	0.0292261	0.0295044	0.0299336
283	0.0286799	0.0288459	0.029896	0.0292261	0.0295044	0.0299336	0.0297483
284	0.0288459	0.029896	0.0292261	0.0295044	0.0299336	0.0297483	0.029081
285	0.029896	0.0292261	0.0295044	0.0299336	0.0297483	0.029081	0.0293385
286	0.0292261	0.0295044	0.0299336	0.0297483	0.029081	0.0293385	0.0286255
287	0.0295044	0.0299336	0.0297483	0.029081	0.0293385	0.0286255	0.0288691
288	0.0299336	0.0297483	0.029081	0.0293385	0.0286255	0.0288691	0.0291889
289	0.0297483	0.029081	0.0293385	0.0286255	0.0288691	0.0291889	0.029751
290	0.029081	0.0293385	0.0286255	0.0288691	0.0291889	0.029751	0.0305193
291	0.0293385	0.0286255	0.0288691	0.0291889	0.029751	0.0305193	0.030961
292	0.0286255	0.0288691	0.0291889	0.029751	0.0305193	0.030961	0.0309712
293	0.0288691	0.0291889	0.029751	0.0305193	0.030961	0.0309712	0.0310867
294	0.0291889	0.029751	0.0305193	0.030961	0.0309712	0.0310867	0.0308356
295	0.029751	0.0305193	0.030961	0.0309712	0.0310867	0.0308356	0.0316722
296	0.0305193	0.030961	0.0309712	0.0310867	0.0308356	0.0316722	0.0316218
297	0.030961	0.0309712	0.0310867	0.0308356	0.0316722	0.0316218	0.0313866
298	0.0309712	0.0310867	0.0308356	0.0316722	0.0316218	0.0313866	0.031213
299	0.0310867	0.0308356	0.0316722	0.0316218	0.0313866	0.031213	0.0309072
300	0.0308356	0.0316722	0.0316218	0.0313866	0.031213	0.0309072	0.0308091
301	0.0316722	0.0316218	0.0313866	0.031213	0.0309072	0.0308091	0.0309525
302	0.0316218	0.0313866	0.031213	0.0309072	0.0308091	0.0309525	0.0313542
303	0.0313866	0.031213	0.0309072	0.0308091	0.0309525	0.0313542	0.032253
304	0.031213	0.0309072	0.0308091	0.0309525	0.0313542	0.032253	0.0322357
305	0.0309072	0.0308091	0.0309525	0.0313542	0.032253	0.0322357	0.0320692
306	0.0308091	0.0309525	0.0313542	0.032253	0.0322357	0.0320692	0.0314683
307	0.0309525	0.0313542	0.032253	0.0322357	0.0320692	0.0314683	0.0310229
308	0.0313542	0.032253	0.0322357	0.0320692	0.0314683	0.0310229	0.0287807
309	0.032253	0.0322357	0.0320692	0.0314683	0.0310229	0.0287807	0.0291974
310	0.0322357	0.0320692	0.0314683	0.0310229	0.0287807	0.0291974	0.0300863
311	0.0320692	0.0314683	0.0310229	0.0287807	0.0291974	0.0300863	0.0289614
312	0.0314683	0.0310229	0.0287807	0.0291974	0.0300863	0.0289614	0.0291666
313	0.0310229	0.0287807	0.0291974	0.0300863	0.0289614	0.0291666	0.0287248
314	0.0287807	0.0291974	0.0300863	0.0289614	0.0291666	0.0287248	0.0283203
315	0.0291974	0.0300863	0.0289614	0.0291666	0.0287248	0.0283203	0.0289072
316	0.0300863	0.0289614	0.0291666	0.0287248	0.0283203	0.0289072	0.0285727
317	0.0289614	0.0291666	0.0287248	0.0283203	0.0289072	0.0285727	0.0284811
318	0.0291666	0.0287248	0.0283203	0.0289072	0.0285727	0.0284811	0.0285158
319	0.0287248	0.0283203	0.0289072	0.0285727	0.0284811	0.0285158	0.0276416
320	0.0283203	0.0289072	0.0285727	0.0284811	0.0285158	0.0276416	0.0278446
321	0.0289072	0.0285727	0.0284811	0.0285158	0.0276416	0.0278446	0.0288971
322	0.0285727	0.0284811	0.0285158	0.0276416	0.0278446	0.0288971	0.0289584
323	0.0284811	0.0285158	0.0276416	0.0278446	0.0288971	0.0289584	0.0283304
324	0.0285158	0.0276416	0.0278446	0.0288971	0.0289584	0.0283304	0.0284516
325	0.0276416	0.0278446	0.0288971	0.0289584	0.0283304	0.0284516	0.0281249
